Q15.1;Q15.7;Q15.8;Q15.9;Q15.2;Q15.3;Q15.4;Q15.5;Q15.6;Q19.4;Q19.7;Q19.8;Q19.1;Q19.2;Q19.3;Q19.5;Q19.6;Q23.1;Q23.2;Q23.3;Q23.4;Q23.5;Q23.6;Q23.7;Q23.8;Q23.9;Q27.1;Q27.4;Q27.5;Q27.6;Q27.7;Q27.8;Q27.2;Q27.3;Q31.1;Q31.3;Q31.4;Q31.5;Q31.6;Q31.7;Q31.8;Q31.2;Q31.9
5;4;1;1;1;2;4;5;5;4;2;5;5;5;1;5;3;5;4;4;5;3;2;5;1;1;5;5;4;4;2;5;4;1;1;5;3;1;3;4;5;5;4
5;3;2;2;2;3;1;2;4;3;3;2;3;3;1;3;2;3;4;3;4;2;2;4;3;3;2;3;4;3;2;5;3;2;2;3;4;2;2;2;3;3;2
4;4;3;3;2;5;2;2;1;5;3;5;4;3;2;2;5;5;3;4;5;3;5;5;3;3;4;5;5;5;5;4;3;1;4;5;5;5;5;3;5;2;2
5;5;3;3;1;3;2;2;3;3;4;5;3;3;1;3;2;5;3;3;3;3;3;5;3;4;4;5;3;3;3;5;3;3;4;5;3;3;4;4;4;1;3
4;4;3;3;3;4;2;2;2;4;4;4;4;2;4;3;2;3;4;3;3;4;3;3;4;3;2;4;4;4;3;4;3;2;3;4;4;4;4;4;4;3;2
5;5;5;5;1;1;5;5;5;1;5;5;5;5;1;5;1;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;2;1;5;5;5;5;5;5;5;1;2
4;4;3;2;1;2;2;3;4;4;4;4;2;2;1;3;2;4;3;3;4;4;4;4;4;3;3;3;4;4;3;4;3;1;4;5;4;3;4;4;5;2;2
4;5;1;3;2;2;2;3;4;5;4;5;3;3;1;4;2;5;4;3;4;5;4;4;4;2;5;3;4;4;3;5;3;3;4;5;5;3;2;5;4;3;2
5;5;3;4;5;4;2;2;2;5;4;5;3;3;1;4;4;4;4;5;5;5;4;4;4;4;4;3;5;5;4;5;4;1;5;5;5;5;5;4;5;1;3
4;2;2;4;2;4;2;3;3;4;3;4;3;3;3;4;3;3;4;3;4;4;4;5;3;2;2;5;4;4;4;4;3;2;4;4;4;4;4;3;4;4;3
5;2;3;3;3;4;4;4;4;3;3;4;5;5;3;4;3;3;4;4;3;3;3;3;3;3;3;4;3;4;3;4;3;3;3;4;2;3;4;4;4;3;3
3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
3;1;1;1;3;3;5;5;5;1;1;1;5;5;1;5;1;4;1;1;3;4;1;1;1;1;2;2;1;1;1;1;5;5;2;5;2;2;2;1;1;5;5
3;3;1;1;3;2;4;4;5;3;3;3;4;4;1;4;2;2;3;5;3;2;3;4;3;3;2;2;3;3;2;2;4;3;3;5;2;1;1;2;2;2;4
5;4;3;3;3;5;1;1;1;3;2;4;4;3;1;2;3;3;2;3;2;4;1;1;1;1;3;1;2;2;1;1;1;1;2;5;3;1;2;2;1;1;1
