"comparison","outcome","medians_IQR","p_value","p_holm","effect_size","effect_type","magnitude"
"Seniority","satisfaction_benefits","E: 3.75 [3.25--4.06]; M: 3.88 [3.25--4.25]; S: 3.25 [2.69--3.56]",0.00555622550596992,0.0555622550596992,0.101032199206895,"epsilon_squared","moderate"
"Seniority","satisfaction_tensions","E: 2.70 [2.35--3.25]; M: 2.80 [2.20--3.40]; S: 2.60 [2.20--3.40]",0.873100769250398,1,0,"epsilon_squared","negligible"
"Seniority","performance_benefits","E: 3.67 [3.25--4.33]; M: 3.83 [3.00--4.33]; S: 3.67 [3.00--4.00]",0.607849825623333,1,0,"epsilon_squared","negligible"
"Seniority","performance_tensions","E: 3.50 [3.15--4.05]; M: 3.40 [3.20--4.00]; S: 3.40 [3.15--3.80]",0.653721878036549,1,0,"epsilon_squared","negligible"
"Seniority","activity_frequency","E: 3.56 [3.22--4.00]; M: 3.78 [3.06--4.31]; S: 3.56 [3.19--3.92]",0.608006389425658,1,0,"epsilon_squared","negligible"
"Seniority","communication_benefits","E: 3.71 [3.29--4.14]; M: 3.93 [3.14--4.39]; S: 3.43 [2.57--3.75]",0.0325721906669073,0.260577525335259,0.0584167807635789,"epsilon_squared","small"
"Seniority","communication_tensions","E: 3.00 [1.75--4.00]; M: 3.00 [2.00--4.00]; S: 3.00 [3.00--4.00]",0.631118867030514,1,0,"epsilon_squared","negligible"
"Seniority","efficiency_benefits","E: 4.00 [3.79--4.61]; M: 4.14 [3.61--4.43]; S: 3.57 [3.00--4.00]",0.00933076192206513,0.0839768572985861,0.0885406892478218,"epsilon_squared","moderate"
"Seniority","efficiency_prompt","E: 3.00 [2.00--3.00]; M: 3.00 [2.00--4.00]; S: 2.50 [1.00--3.00]",0.0868874697106068,0.608212287974247,0.0347744927508511,"epsilon_squared","small"
"Seniority","efficiency_validation","E: 3.00 [1.75--4.00]; M: 3.00 [2.00--4.00]; S: 2.50 [1.00--3.00]",0.0889974096329453,0.608212287974247,0.0341963377089486,"epsilon_squared","small"
