"comparison","outcome","medians_IQR","p_value","p_holm","effect_size","effect_type","magnitude"
"Usage intensity","satisfaction_benefits","I: 3.62 [3.25--4.25]; O: 3.25 [2.44--3.75]",0.0159909599599667,0.0959457597598001,0.304444444444444,"cliffs_delta","small"
"Usage intensity","satisfaction_tensions","I: 2.60 [2.20--3.40]; O: 2.80 [2.20--3.40]",0.625952116119695,1,-0.0622222222222222,"cliffs_delta","negligible"
"Usage intensity","performance_benefits","I: 3.83 [3.08--4.33]; O: 3.33 [2.67--4.00]",0.0133557477513204,0.0934902342592425,0.312222222222222,"cliffs_delta","small"
"Usage intensity","performance_tensions","I: 3.20 [3.00--3.95]; O: 3.70 [3.40--4.00]",0.0222868795283118,0.111434397641559,-0.288888888888889,"cliffs_delta","small"
"Usage intensity","activity_frequency","I: 3.89 [3.56--4.44]; O: 3.17 [2.75--3.56]",7.95267816915436e-07,7.95267816915436e-06,0.626111111111111,"cliffs_delta","large"
"Usage intensity","communication_benefits","I: 3.86 [3.32--4.29]; O: 3.21 [2.43--3.71]",0.000402088213478083,0.00361879392130274,0.448888888888889,"cliffs_delta","medium"
"Usage intensity","communication_tensions","I: 3.00 [2.00--4.00]; O: 3.00 [3.00--4.00]",0.762170499966558,1,-0.0372222222222222,"cliffs_delta","negligible"
"Usage intensity","efficiency_benefits","I: 4.07 [3.57--4.43]; O: 3.64 [2.57--4.04]",0.00200535681867154,0.0160428545493723,0.391666666666667,"cliffs_delta","medium"
"Usage intensity","efficiency_prompt","I: 3.00 [1.25--3.00]; O: 3.00 [2.00--4.00]",0.479156692713543,1,-0.0877777777777778,"cliffs_delta","negligible"
"Usage intensity","efficiency_validation","I: 3.00 [1.00--3.00]; O: 3.00 [2.00--4.00]",0.425292498325721,1,-0.0988888888888889,"cliffs_delta","negligible"
